股票代碼,股票名稱,strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,total_trades
1326.TW,台化,RSI,-65.21970327510364,-10.369848837875061,17.86770018629887,-0.5803684150591897,-73.06940790632635,45.49469964664311,4
1326.TW,台化,MACD,-62.68647725586192,-9.714250346350683,16.156911603943996,-0.6012442590810102,-67.26469707849476,45.7378551787351,107
1326.TW,台化,MA_CROSS,-52.31181054617296,-7.388753193065556,16.19886958897575,-0.4561277040031251,-64.8312977175999,46.76952748312439,83
1326.TW,台化,BOLLINGER,-24.831104850256004,-2.915480195800624,19.068763092317283,-0.15289298952878896,-59.71671584802698,47.403560830860535,20
1326.TW,台化,STOCHASTIC,-16.588156028683997,-1.8626371616738524,17.901475633301846,-0.10404936441154697,-52.54023968775676,46.99140401146132,31
1326.TW,台化,RSI_MACD,6.661338147750939e-14,0.0,1.837481944216247,0.0,-5.245895834667931,41.66666666666667,1
1326.TW,台化,RSI_STOCHASTIC,-30.396296134995314,-3.6865133552585583,10.968639594644682,-0.3360957686182394,-39.27677139215413,42.857142857142854,8
1326.TW,台化,MACD_MA,-39.08597574007592,-5.008757238168348,11.314278557412289,-0.4426934702687673,-47.305992212101614,48.20359281437126,73
1326.TW,台化,RSI_BOLLINGER,-42.38861334986145,-5.556071641643856,16.65438542770359,-0.3336101272402197,-56.29689923823852,46.893317702227435,10
1326.TW,台化,MACD_STOCHASTIC,-4.860901904243753,-0.5152129997474275,2.9223892185501446,-0.1762985561529805,-9.851799888389728,37.77777777777778,3
1326.TW,台化,MA_BOLLINGER,-5.154803992047108,-0.5471150010004755,6.6913006127978445,-0.08176512051394884,-30.145299690061734,40.20618556701031,94
1326.TW,台化,RSI_MACD_MA,6.661338147750939e-14,0.0,1.837481944216247,0.0,-5.245895834667931,41.66666666666667,1
1326.TW,台化,MACD_MA_CROSS,-16.204563328820456,-1.8159498189048606,4.947146292730033,-0.3670701676183396,-16.31814577291616,37.5,7
