股票代碼,股票名稱,策略,總報酬率 (%),年化報酬率 (%),波動率 (%),夏普比率,最大回撤 (%),勝率 (%),交易次數
2330.TW,台積電,RSI,161.43,10.47,15.79,0.66,-37.47,53.31,9
2330.TW,台積電,MACD,440.96,19.12,17.66,1.08,-25.49,54.24,95
2330.TW,台積電,MA_CROSS,427.70,18.82,19.31,0.97,-24.75,52.62,74
2330.TW,台積電,BOLLINGER,134.38,9.23,17.64,0.52,-25.25,53.14,22
2330.TW,台積電,STOCHASTIC,26.58,2.47,17.05,0.15,-44.73,51.01,28
2330.TW,台積電,RSI_MACD,0.00,0.00,0.00,0.00,0.00,0.00,0
2330.TW,台積電,RSI_STOCHASTIC,10.47,1.04,7.69,0.13,-21.81,50.94,5
2330.TW,台積電,MACD_MA,250.35,13.88,14.55,0.95,-19.87,54.45,78
2330.TW,台積電,RSI_BOLLINGER,92.78,7.04,13.55,0.52,-17.74,51.81,10
2330.TW,台積電,MACD_STOCHASTIC,0.00,0.00,0.00,0.00,0.00,0.00,0
2330.TW,台積電,MA_BOLLINGER,6.58,0.66,6.19,0.11,-18.40,51.79,60
2330.TW,台積電,RSI_MACD_MA,0.00,0.00,0.00,0.00,0.00,0.00,0
2330.TW,台積電,MACD_MA_CROSS,47.78,4.13,7.04,0.59,-11.79,56.58,13
2454.TW,聯發科,RSI,260.77,14.23,22.84,0.62,-38.96,52.72,10
2454.TW,聯發科,MACD,142.32,9.61,24.86,0.39,-42.39,48.69,101
2454.TW,聯發科,MA_CROSS,674.47,23.64,26.93,0.88,-34.43,50.04,74
2454.TW,聯發科,BOLLINGER,163.53,10.57,23.71,0.45,-34.94,51.84,25
2454.TW,聯發科,STOCHASTIC,47.97,4.15,22.62,0.18,-43.40,51.19,26
2454.TW,聯發科,RSI_MACD,0.00,0.00,0.00,0.00,0.00,0.00,0
2454.TW,聯發科,RSI_STOCHASTIC,89.71,6.86,9.02,0.76,-11.71,58.82,6
2454.TW,聯發科,MACD_MA,112.96,8.15,20.69,0.39,-31.38,48.33,74
2454.TW,聯發科,RSI_BOLLINGER,215.04,12.63,18.79,0.67,-38.56,53.29,13
2454.TW,聯發科,MACD_STOCHASTIC,1.99,0.20,3.79,0.05,-6.91,50.00,1
2454.TW,聯發科,MA_BOLLINGER,-10.11,-1.10,8.60,-0.13,-24.42,53.03,67
2454.TW,聯發科,RSI_MACD_MA,0.00,0.00,0.00,0.00,0.00,0.00,0
2454.TW,聯發科,MACD_MA_CROSS,-11.40,-1.25,4.58,-0.27,-16.67,44.64,7
2317.TW,鴻海,RSI,43.15,3.79,18.74,0.20,-50.99,50.99,9
2317.TW,鴻海,MACD,182.13,11.35,18.66,0.61,-25.35,50.87,91
2317.TW,鴻海,MA_CROSS,305.87,15.63,19.63,0.80,-27.45,52.17,65
2317.TW,鴻海,BOLLINGER,0.26,0.03,19.96,0.00,-48.90,51.21,22
2317.TW,鴻海,STOCHASTIC,-15.11,-1.68,20.29,-0.08,-43.60,49.71,28
2317.TW,鴻海,RSI_MACD,-9.77,-1.06,3.20,-0.33,-9.77,27.59,2
2317.TW,鴻海,RSI_STOCHASTIC,5.30,0.54,12.03,0.04,-27.32,49.45,10
2317.TW,鴻海,MACD_MA,197.68,11.97,15.23,0.79,-18.49,52.23,62
2317.TW,鴻海,RSI_BOLLINGER,-4.97,-0.53,14.83,-0.04,-41.37,51.37,12
2317.TW,鴻海,MACD_STOCHASTIC,-9.28,-1.00,3.90,-0.26,-13.59,38.60,3
2317.TW,鴻海,MA_BOLLINGER,-12.42,-1.37,7.56,-0.18,-28.49,44.29,79
2317.TW,鴻海,RSI_MACD_MA,-9.77,-1.06,3.20,-0.33,-9.77,27.59,2
2317.TW,鴻海,MACD_MA_CROSS,-0.83,-0.09,5.31,-0.02,-16.32,48.81,10
